1	西餐	xi1 can1	西洋料理
2	參觀	can1 guan1	見学する
3	出發	chu1 fa1	出発する
4	春天	chun1 tian1	春
5	醫生	yi1 sheng1	医者
6	工資	gong1 zi1	給料
7	乾杯	gan1 bei1	乾杯する
8	秋天	qiu1 tian1	秋
9	冬天	dong1 tian1	冬
10	通知	tong1 zhi1	知らせ
11	聽說	ting1 shuo1	～と聞いている
12	擔心	dan1 xin1	心配
13	書包	shu1 bao1	かばん
14	關心	guan1 xin1	関心
15	參加	can1 jia1	参加する
16	餐廳	can1 ting1	レストラン
17	初中	chu1 zhong1	初級中学
18	咖啡	ka1 fei1	コーヒー
19	沙發	sha1 fa1	ソファー
20	星期	xing1 qi1	週
21	家鄉	jia1 xiang1	郷里
22	森林	sen1 lin2	森林
23	家庭	jia1 ting2	家庭
24	英文	ying1 wen2	英文
25	歡迎	huan1 ying2	歓迎
26	公園	gong1 yuan2	公園
27	中學	zhong1 xue2	中学(高校)
28	金魚	jin1 yu2	金魚
29	要求	yao1 qiu2	要求
30	忽然	hu1 ran2	突然
31	突然	tu1 ran2	突然
32	將來	jiang1 lai2	将来
33	剛才	gang1 cai2	さっき
34	加油	jia1 you2	頑張る
35	交流	jiao1 liu2	交流
36	拼盤	pin1 pan2	前菜
37	中文	zhong1 wen2	中国語
38	科學	ke1 xue2	科学
39	辛苦	xin1 ku3	苦労
40	身體	shen1 ti3	体
41	科長	ke1 zhang3	課長
42	開演	kai1 yan3	開演する
43	知己	zhi1 ji3	知人
44	黑板	hei1 ban3	黒板
45	鉛筆	qian1 bi3	鉛筆
46	中午	zhong1 wu3	昼ごろ
47	相反	xiang1 fan3	相反する
48	精彩	jing1 cai3	すばらしい
49	基本	ji1 ben3	基本的な
50	商品	shang1 pin3	商品
51	開始	kai1 shi3	初め
52	班長	ban1 zhang3	班長
53	商店	shang1 dian4	店
54	車站	che1 zhan4	駅
55	超重	chao1 zhong4	重量オーバー
56	方便	fang1 bian4	便利な
57	雞蛋	ji1 dan4	卵
58	因為	yin1 wei4	なぜなら
59	優秀	you1 xiu4	優秀な
60	希望	xi1 wang4	望み
61	發現	fa1 xian4	発見
62	蔬菜	shu1 cai4	野菜
63	收入	shou1 ru4	収入
64	真正	zhen1 zheng4	本当に
65	先生	xian1 sheng0	先生
66	哥哥	ge1 ge0	兄
67	衣服	yi1 fu0	服
68	舒服	shu1 fu0	心地良い
69	屋子	wu1 zi0	部屋
70	收拾	shou1 shi0	片付ける
71	桌子	zhuo1 zi0	テーブル
72	生日	sheng1 ri0	誕生日
73	休息	xiu1 xi0	休み
74	工夫	gong1 fu0	時間
75	答應	da1 ying0	承諾する
76	師傅	shi1 fu0	先生
77	夫人	fu1 ren0	夫人
78	孫子	sun1 zi0	孫
79	讀書	du2 shu1	読書
80	熊貓	xiong2 mao1	パンダ
81	原因	yuan2 yin1	原因
82	平均	ping2 jun1	平均
83	研究	yan2 jiu1	研究
84	時差	shi2 cha1	時差
85	錢包	qian2 bao1	財布
86	旁邊	pang2 bian1	そば
87	曾經	ceng2 jing1	～したことがある
88	還書	huan2 shu1	本を返す
89	南方	nan2 fang1	南方
90	文章	wen2 zhang1	文章
91	離婚	li2 hun1	離婚
92	毛衣	mao2 yi1	毛糸のセーター
93	職員	zhi2 yuan2	職員
94	銀行	yin2 hang2	銀行
95	農民	nong2 min2	農民
96	長城	chang2 cheng2	長城
97	回答	hui2 da2	回答
98	才能	cai2 neng2	才能
